Date : 2021-04-09 14:36:38
Directory : /Users/admin/mysrcs/AdminApprovalFront
Total : 287 files,  94124 codes, 2104 comments, 4636 blanks, all 100864 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/matomo.js                                       | JavaScript       |         34 |          1 |          8 |         43 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/matomo.min.js                                   | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/search.js                                       | JavaScript       |        311 |         10 |         71 |        392 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/search.min.js                                   | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/zoom-image.js                                   | JavaScript       |        491 |         26 |        139 |        656 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/zoom-image.min.js                               | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/themes/buble.css                                        | CSS              |          1 |          0 |          0 |          1 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/themes/dark.css                                         | CSS              |          1 |          0 |          0 |          1 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/themes/dolphin.css                                      | CSS              |          1 |          0 |          0 |          1 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/themes/pure.css                                         | CSS              |          1 |          0 |          0 |          1 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/themes/vue.css                                          | CSS              |          1 |          0 |          0 |          1 |
| /Users/admin/mysrcs/AdminApprovalFront/nginx-conf/nginx.conf                                            | Properties       |         32 |          4 |          5 |         41 |
| /Users/admin/mysrcs/AdminApprovalFront/package-lock.bak.json                                            | JSON             |     14,894 |          0 |          1 |     14,895 |
| /Users/admin/mysrcs/AdminApprovalFront/package.json                                                     | JSON             |        209 |          0 |          1 |        210 |
| /Users/admin/mysrcs/AdminApprovalFront/public/antd.min.css                                              | CSS              |     24,706 |         25 |          1 |     24,732 |
| /Users/admin/mysrcs/AdminApprovalFront/public/index.html                                                | HTML             |         80 |          0 |          8 |         88 |
| /Users/admin/mysrcs/AdminApprovalFront/public/manifest.json                                             | JSON             |         15 |          0 |          1 |         16 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/build.js                                                 | JavaScript       |        172 |         24 |         25 |        221 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/config-data.json                                     | JSON             |        533 |          0 |          1 |        534 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/config.conf                                          | Properties       |         11 |         41 |         11 |         63 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/config.js                                            | JavaScript       |        427 |         43 |        115 |        585 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/index.js                                             | JavaScript       |         91 |          0 |         28 |        119 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/my-sql.js                                            | JavaScript       |         78 |          0 |         22 |        100 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/routes.js                                            | JavaScript       |         94 |          0 |         19 |        113 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/templates/columns.js                                 | JavaScript       |         49 |          3 |          6 |         58 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/templates/edit-hooks.js                              | JavaScript       |         81 |          4 |         14 |         99 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/templates/edit-modal-hooks.js                        | JavaScript       |         77 |          4 |         13 |         94 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/templates/edit-modal.js                              | JavaScript       |         96 |          4 |         14 |        114 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/templates/edit.js                                    | JavaScript       |         99 |          4 |         18 |        121 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/templates/list-hooks.js                              | JavaScript       |        206 |          7 |         29 |        242 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/templates/list.js                                    | JavaScript       |        232 |          4 |         25 |        261 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/test.js                                              | JavaScript       |         10 |         14 |          9 |         33 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/gen/util.js                                              | JavaScript       |        480 |         16 |        105 |        601 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/start.js                                                 | JavaScript       |        133 |         21 |         19 |        173 |
| /Users/admin/mysrcs/AdminApprovalFront/scripts/test.js                                                  | JavaScript       |         36 |          7 |         11 |         54 |
| /Users/admin/mysrcs/AdminApprovalFront/src/App.js                                                       | JavaScript       |         78 |          4 |         17 |         99 |
| /Users/admin/mysrcs/AdminApprovalFront/src/antd.less                                                    | Less             |          3 |          8 |          4 |         15 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/ajax.js                                              | JavaScript       |         37 |         33 |         11 |         81 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/api/approval/info/manage.ts                          | TypeScript       |         19 |          0 |          4 |         23 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/api/approval/manage.ts                               | TypeScript       |         19 |          0 |          4 |         23 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/api/axios.ts                                         | TypeScript       |         16 |          0 |          3 |         19 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/api/organize.ts                                      | TypeScript       |         40 |          4 |         11 |         55 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/api/role.ts                                          | TypeScript       |         20 |          0 |          5 |         25 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/api/types.ts                                         | TypeScript       |         13 |         18 |          8 |         39 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/api/user.ts                                          | TypeScript       |         49 |          9 |         10 |         68 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/config-hoc.js                                        | JavaScript       |          9 |          5 |          2 |         16 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/handle-error.js                                      | JavaScript       |         28 |         10 |         17 |         55 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/handle-success.js                                    | JavaScript       |          8 |          0 |          2 |         10 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/index.ts                                             | TypeScript       |         47 |         42 |         26 |        115 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/types.d.ts                                           | TypeScript       |          8 |          0 |          1 |          9 |
| /Users/admin/mysrcs/AdminApprovalFront/src/commons/utils.ts                                             | TypeScript       |         25 |          0 |          4 |         29 |
| /Users/admin/mysrcs/AdminApprovalFront/src/components/batch-delete-confirm/index.jsx                    | JavaScript React |         24 |          0 |          2 |         26 |
| /Users/admin/mysrcs/AdminApprovalFront/src/components/error/Error404.jsx                                | JavaScript React |         15 |          0 |          3 |         18 |
| /Users/admin/mysrcs/AdminApprovalFront/src/components/permission/index.jsx                              | JavaScript React |         37 |          4 |          8 |         49 |
| /Users/admin/mysrcs/AdminApprovalFront/src/components/tree-editor/TreeModal.jsx                         | JavaScript React |        225 |          0 |         30 |        255 |
| /Users/admin/mysrcs/AdminApprovalFront/src/components/tree-editor/index.js                              | JavaScript       |         59 |          0 |          5 |         64 |
| /Users/admin/mysrcs/AdminApprovalFront/src/components/tree-editor/style.less                            | Less             |         50 |          6 |         11 |         67 |
| /Users/admin/mysrcs/AdminApprovalFront/src/config/config.default.js                                     | JavaScript       |         18 |          6 |          9 |         33 |
| /Users/admin/mysrcs/AdminApprovalFront/src/config/config.development.js                                 | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/src/config/config.production.js                                  | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/src/config/config.test.js                                        | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/src/config/index.js                                              | JavaScript       |         15 |          0 |          5 |         20 |
| /Users/admin/mysrcs/AdminApprovalFront/src/index.css                                                    | CSS              |         42 |         20 |         14 |         76 |
| /Users/admin/mysrcs/AdminApprovalFront/src/index.dark.less                                              | Less             |         92 |          8 |         25 |        125 |
| /Users/admin/mysrcs/AdminApprovalFront/src/index.js                                                     | JavaScript       |         20 |          5 |          7 |         32 |
| /Users/admin/mysrcs/AdminApprovalFront/src/index.mobile.css                                             | CSS              |         52 |          7 |         14 |         73 |
| /Users/admin/mysrcs/AdminApprovalFront/src/layouts/header-user/ModifyPassword.jsx                       | JavaScript React |         90 |          0 |         10 |        100 |
| /Users/admin/mysrcs/AdminApprovalFront/src/layouts/header-user/index.jsx                                | JavaScript React |         48 |          0 |          5 |         53 |
| /Users/admin/mysrcs/AdminApprovalFront/src/layouts/index.jsx                                            | JavaScript React |         33 |          0 |          4 |         37 |
| /Users/admin/mysrcs/AdminApprovalFront/src/layouts/style.less                                           | Less             |         13 |          0 |          2 |         15 |
| /Users/admin/mysrcs/AdminApprovalFront/src/menus.js                                                     | JavaScript       |         29 |         12 |         13 |         54 |
| /Users/admin/mysrcs/AdminApprovalFront/src/mock/index.js                                                | JavaScript       |          8 |          0 |          3 |         11 |
| /Users/admin/mysrcs/AdminApprovalFront/src/mock/mock-roles.js                                           | JavaScript       |         34 |          1 |          7 |         42 |
| /Users/admin/mysrcs/AdminApprovalFront/src/mock/mock-users.js                                           | JavaScript       |         49 |          0 |          5 |         54 |
| /Users/admin/mysrcs/AdminApprovalFront/src/mock/mockdata/organizations.js                               | JavaScript       |         58 |          0 |          1 |         59 |
| /Users/admin/mysrcs/AdminApprovalFront/src/mock/mockdata/roles.js                                       | JavaScript       |         12 |          0 |          2 |         14 |
| /Users/admin/mysrcs/AdminApprovalFront/src/mock/mockdata/user.js                                        | JavaScript       |         63 |          6 |          4 |         73 |
| /Users/admin/mysrcs/AdminApprovalFront/src/mock/simplify.js                                             | JavaScript       |         21 |         13 |          4 |         38 |
| /Users/admin/mysrcs/AdminApprovalFront/src/mock/url-config.js                                           | JavaScript       |          1 |          1 |          1 |          3 |
| /Users/admin/mysrcs/AdminApprovalFront/src/models/index.js                                              | JavaScript       |         28 |          1 |          4 |         33 |
| /Users/admin/mysrcs/AdminApprovalFront/src/models/models.js                                             | JavaScript       |         31 |          5 |         12 |         48 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/approval/info/manage/EditModal.tsx                     | TypeScript React |        107 |          0 |         11 |        118 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/approval/info/manage/index.tsx                         | TypeScript React |        162 |          1 |         15 |        178 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/approval/info/manage/style.less                        | Less             |         17 |          0 |          4 |         21 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/approval/manage/EditModal.tsx                          | TypeScript React |         86 |          0 |         10 |         96 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/approval/manage/index.tsx                              | TypeScript React |        191 |          1 |         18 |        210 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/approval/manage/style.less                             | Less             |         17 |          0 |          4 |         21 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/examples/table-editable/index.jsx                      | JavaScript React |         93 |          0 |          9 |        102 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/gen/Fast.jsx                                           | JavaScript React |        180 |          3 |         16 |        199 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/gen/PreviewModal.jsx                                   | JavaScript React |         42 |          0 |          6 |         48 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/gen/Single.jsx                                         | JavaScript React |        702 |         10 |         99 |        811 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/gen/SourceCode.jsx                                     | JavaScript React |         55 |          0 |         11 |         66 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/gen/index.jsx                                          | JavaScript React |         29 |          0 |          3 |         32 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/gen/style.less                                         | Less             |         11 |          0 |          2 |         13 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/gen/util.js                                            | JavaScript       |        159 |          3 |         34 |        196 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/home/index.jsx                                         | JavaScript React |         21 |          0 |          3 |         24 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/home/style.less                                        | Less             |          6 |          0 |          1 |          7 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/iframe/index.jsx                                       | JavaScript React |         23 |          0 |          2 |         25 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/iframe/style.less                                      | Less             |         10 |          0 |          2 |         12 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/login/banner/index.jsx                                 | JavaScript React |         28 |          0 |          6 |         34 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/login/banner/style.less                                | Less             |         51 |          0 |          8 |         59 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/login/index.jsx                                        | JavaScript React |        142 |          2 |         14 |        158 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/login/style.less                                       | Less             |         77 |          1 |         15 |         93 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/menus/MenuSelect.jsx                                   | JavaScript React |        122 |         10 |         30 |        162 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/menus/index.tsx                                        | TypeScript React |        100 |          3 |         18 |        121 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/menus/style.less                                       | Less             |          2 |          0 |          1 |          3 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/organizes/BatchAddModal.jsx                            | JavaScript React |        107 |          0 |         11 |        118 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/organizes/EditModal.tsx                                | TypeScript React |         94 |          0 |         14 |        108 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/organizes/MenuSelect.tsx                               | TypeScript React |        123 |          7 |         26 |        156 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/organizes/cat/EditModal.tsx                            | TypeScript React |         89 |          0 |         13 |        102 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/organizes/cat/index.tsx                                | TypeScript React |        142 |          4 |         15 |        161 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/organizes/index.tsx                                    | TypeScript React |        144 |          3 |         14 |        161 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/organizes/style.less                                   | Less             |          2 |          0 |          1 |          3 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/page-routes.js                                         | JavaScript       |         26 |          6 |          5 |         37 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/roles/EditModal.tsx                                    | TypeScript React |        101 |          0 |         11 |        112 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/roles/index.tsx                                        | TypeScript React |        213 |          1 |         20 |        234 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/roles/style.less                                       | Less             |         17 |          0 |          4 |         21 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/user-center/index.jsx                                  | JavaScript React |         23 |          0 |          2 |         25 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/users/EditModal.tsx                                    | TypeScript React |        132 |          0 |         15 |        147 |
| /Users/admin/mysrcs/AdminApprovalFront/src/pages/users/index.tsx                                        | TypeScript React |        171 |          6 |         20 |        197 |
| /Users/admin/mysrcs/AdminApprovalFront/src/router/AppRouter.jsx                                         | JavaScript React |         60 |         16 |         15 |         91 |
| /Users/admin/mysrcs/AdminApprovalFront/src/router/AuthRoute.jsx                                         | JavaScript React |         22 |          5 |          6 |         33 |
| /Users/admin/mysrcs/AdminApprovalFront/src/router/routes.js                                             | JavaScript       |         19 |          8 |          6 |         33 |
| /Users/admin/mysrcs/AdminApprovalFront/src/serviceWorker.js                                             | JavaScript       |         92 |         31 |         13 |        136 |
| /Users/admin/mysrcs/AdminApprovalFront/src/setupProxy.js                                                | JavaScript       |         11 |          1 |          3 |         15 |
| /Users/admin/mysrcs/AdminApprovalFront/src/theme.less                                                   | Less             |         17 |          1 |          3 |         21 |
| /Users/admin/mysrcs/AdminApprovalFront/tsconfig.json                                                    | JSON             |         16 |         47 |          0 |         63 |
| /Users/admin/mysrcs/AdminApprovalFront/yarn-error.log                                                   | Log              |     10,295 |          0 |      1,521 |     11,816 |
| Total                                                                                                   |                  |     94,124 |      2,104 |      4,636 |    100,864 |
+---------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
